filename,height,width,ctp_mean,ctp_std,ctp_min,ctp_max,pct_ctp_lt_300,pct_ctp_lt_200,ctt_mean,ctt_std,pct_ctt_lt_220,pct_ctt_lt_240,timestamp,processed_at
3RIMG_23JAN2026_0015_L2B_CTP_V01R00.h5,313,312,-222.43446350097656,796.2511596679688,-999.0,777.3140869140625,55.47329401163267,52.1944376177603,-376.9165954589844,630.7196044921875,53.10272794298353,59.89903334152535,13707745.023145901,2026-02-15T03:34:03.370269
3RIMG_23JAN2026_0045_L2B_CTP_V01R00.h5,313,312,-219.81069946289062,797.2666015625,-999.0,777.782958984375,55.26746948472188,52.059269271729335,-375.4565124511719,630.866943359375,52.93991152617351,59.611288604898824,13707775.514563983,2026-02-15T03:34:03.390153
3RIMG_23JAN2026_0115_L2B_CTP_V01R00.h5,313,312,-221.92050170898438,798.278076171875,-999.0,796.3470458984375,55.39239780453838,52.20570164659621,-377.9054260253906,630.9664306640625,53.0535758171541,59.64200868354222,13707805.614968967,2026-02-15T03:34:03.407722
3RIMG_23JAN2026_0145_L2B_CTP_V01R00.h5,313,312,-224.7670135498047,798.5142822265625,-999.0,777.7930908203125,55.47329401163267,52.44327025477185,-380.3766784667969,630.9838256835938,53.27476038338658,59.68092078315721,13707835.59977415,2026-02-15T03:34:03.427214
3RIMG_23JAN2026_0215_L2B_CTP_V01R00.h5,313,312,-226.12042236328125,799.1865844726562,-999.0,777.5375366210938,55.5879823052347,52.53543049070205,-382.0062561035156,631.0114135742188,53.43040878184648,59.42799213565987,13707865.293342967,2026-02-15T03:34:03.449758
3RIMG_23JAN2026_0245_L2B_CTP_V01R00.h5,313,312,-227.10726928710938,799.864501953125,-999.0,777.6024169921875,55.74260670107315,52.71155894159089,-383.2488708496094,631.0460205078125,53.577865159334806,59.45564020643893,13707895.678981934,2026-02-15T03:34:03.472642
3RIMG_23JAN2026_0315_L2B_CTP_V01R00.h5,313,312,-223.98902893066406,801.1151123046875,-999.0,777.5742797851562,55.5552142213484,52.62144671090358,-381.5593566894531,631.197998046875,53.440648808060956,59.07061522077497,13707925.821561882,2026-02-15T03:34:03.490638
3RIMG_23JAN2026_0345_L2B_CTP_V01R00.h5,313,312,-229.27688598632812,801.9739990234375,-999.0,777.6993408203125,55.90030310477595,52.95424756287376,-386.4715270996094,631.1607055664062,53.83591381993937,59.389080036044895,13707968.888166517,2026-02-15T03:34:03.510646
3RIMG_23JAN2026_0515_L2B_CTP_V01R00.h5,313,312,-238.6591339111328,804.5042114257812,-999.0,777.9913940429688,56.455312525600064,53.71610551323012,-396.00531005859375,631.1442260742188,54.437003358728596,59.70447284345048,13708049.323857633,2026-02-15T03:34:03.534437
3RIMG_23JAN2026_0545_L2B_CTP_V01R00.h5,313,312,-228.62562561035156,806.28125,-999.0,777.4219360351562,55.83067092651757,53.172360121241915,-388.9393005371094,631.5719604492188,53.91169001392644,59.13512738592611,13708145.176134916,2026-02-15T03:34:03.551458
3RIMG_23JAN2026_0615_L2B_CTP_V01R00.h5,313,312,-236.61614990234375,807.499755859375,-999.0,782.783935546875,56.24539198820349,53.71200950274433,-396.4011535644531,631.4652099609375,54.38477922503482,59.41365609895961,13708146.2125454,2026-02-15T03:34:03.571457
3RIMG_23JAN2026_0645_L2B_CTP_V01R00.h5,313,312,-231.2483673095703,809.289794921875,-999.0,778.581298828125,56.039567461292705,53.458056852625546,-393.19329833984375,631.7868041992188,54.08269845170803,59.105431309904155,13708143.900652599,2026-02-15T03:34:03.593387
3RIMG_23JAN2026_0715_L2B_CTP_V01R00.h5,313,312,-230.67486572265625,810.212646484375,-999.0,780.4819946289062,56.00167936429917,53.44474481854673,-393.3436584472656,631.9015502929688,54.04378635209306,59.005079053002376,13708227.475653483,2026-02-15T03:34:03.614407
3RIMG_23JAN2026_0745_L2B_CTP_V01R00.h5,313,312,-227.54238891601562,810.3218994140625,-999.0,780.515625,55.8378389448677,53.273736380765136,-390.7450256347656,632.0557250976562,53.83284181207504,58.87400671745719,13708235.1446231,2026-02-15T03:34:03.632416
3RIMG_23JAN2026_0815_L2B_CTP_V01R00.h5,313,312,-229.54989624023438,810.3450927734375,-999.0,780.6407470703125,55.89620709429016,53.394568690095845,-392.4497375488281,631.9922485351562,53.88096993528303,59.01327107397395,13708247.054900449,2026-02-15T03:34:03.651926
3RIMG_23JAN2026_0845_L2B_CTP_V01R00.h5,313,312,-232.42774963378906,809.5802001953125,-999.0,781.1948852539062,56.06721553207176,53.55431309904153,-394.278076171875,631.8353271484375,54.0775784386008,59.216023593020395,13708324.7781452,2026-02-15T03:34:03.669924
3RIMG_23JAN2026_0915_L2B_CTP_V01R00.h5,313,312,-231.45387268066406,809.4364013671875,-999.0,780.6407470703125,55.981199311870235,53.45908085524699,-393.3765869140625,631.8681640625,53.92295404276235,59.16277545670518,13708325.649976082,2026-02-15T03:34:03.689924
3RIMG_23JAN2026_0945_L2B_CTP_V01R00.h5,313,312,-234.22132873535156,808.5443725585938,-999.0,778.5345458984375,56.038543458671256,53.55943311214877,-395.07171630859375,631.7033081054688,54.036618333742936,59.33992791021545,13708343.080837382,2026-02-15T03:34:03.708923
3RIMG_23JAN2026_1015_L2B_CTP_V01R00.h5,313,312,-235.93638610839844,807.2926635742188,-999.0,778.8936157226562,56.20647988858851,53.53690505447693,-395.5959777832031,631.5430297851562,54.04173834685017,59.64917670189236,13708397.946047334,2026-02-15T03:34:03.726977
3RIMG_23JAN2026_1045_L2B_CTP_V01R00.h5,313,312,-234.91973876953125,806.498779296875,-999.0,781.4426879882812,56.18599983615958,53.42221676087491,-394.1604309082031,631.5806884765625,53.94548210043417,59.661464733349725,13708409.716592217,2026-02-15T03:34:03.747499
3RIMG_23JAN2026_1115_L2B_CTP_V01R00.h5,313,312,-236.1063995361328,805.2190551757812,-999.0,778.7886962890625,56.25665601703941,53.42528876873924,-394.24249267578125,631.4431762695312,53.98439420004916,59.767961005980176,13708413.4748589,2026-02-15T03:34:03.766510
3RIMG_23JAN2026_1145_L2B_CTP_V01R00.h5,313,312,-236.01187133789062,804.3335571289062,-999.0,778.49755859375,56.1644957811092,53.37613664290981,-393.5749206542969,631.3623046875,53.952650118784305,59.84578520521012,13708463.652655983,2026-02-15T03:34:03.784509
3RIMG_23JAN2026_1215_L2B_CTP_V01R00.h5,313,312,-234.8649139404297,803.633056640625,-999.0,777.457763671875,56.01703940362087,53.30548046202998,-392.2132263183594,631.3160400390625,53.82055378061767,59.5559924633407,13708465.816089502,2026-02-15T03:34:03.802529
3RIMG_23JAN2026_1245_L2B_CTP_V01R00.h5,313,312,-231.018310546875,802.9345703125,-999.0,777.0899047851562,55.72110264602277,53.066887851232906,-388.5501708984375,631.388427734375,53.60448922749242,59.26722372409273,13708495.5402021,2026-02-15T03:34:03.821763
3RIMG_23JAN2026_1315_L2B_CTP_V01R00.h5,313,312,-229.7513885498047,802.0638427734375,-999.0,777.3158569335938,55.65454247562873,53.03616777258949,-386.8727722167969,631.3233642578125,53.54816908331286,59.2621037109855,13708525.2277095,2026-02-15T03:34:03.839878
3RIMG_23JAN2026_1345_L2B_CTP_V01R00.h5,313,312,-226.4971160888672,801.1539916992188,-999.0,778.3126831054688,55.37498975997378,52.833415253543045,-383.58746337890625,631.3015747070312,53.35975260096666,59.043991152617345,13708555.042168668,2026-02-15T03:34:03.859131
3RIMG_23JAN2026_1415_L2B_CTP_V01R00.h5,313,312,-228.22708129882812,799.8392333984375,-999.0,777.789306640625,55.477390022118456,52.90509543704432,-384.1171875,631.1469116210938,53.44269681330385,59.14434340951913,13708584.79861415,2026-02-15T03:34:03.877706
3RIMG_23JAN2026_1445_L2B_CTP_V01R00.h5,313,312,-227.51220703125,798.552734375,-999.0,779.9960327148438,55.47943802736135,52.82419922995003,-382.5845947265625,631.0648193359375,53.379208650774146,59.16072745146228,13708614.776356183,2026-02-15T03:34:03.894989
3RIMG_23JAN2026_1515_L2B_CTP_V01R00.h5,313,312,-224.0736083984375,797.2725830078125,-999.0,779.345947265625,55.26849348734333,52.57843860080281,-378.8481750488281,631.0145874023438,53.14573605308429,59.06754321291062,13708644.587353785,2026-02-15T03:34:03.912091
3RIMG_23JAN2026_1545_L2B_CTP_V01R00.h5,313,312,-223.7269744873047,796.2990112304688,-999.0,777.885986328125,55.24494142705005,52.52928647497338,-377.8825378417969,630.9366455078125,53.089415908904726,59.02760711067421,13708674.484568851,2026-02-15T03:34:03.930166
3RIMG_23JAN2026_1615_L2B_CTP_V01R00.h5,313,312,-221.9099884033203,795.088623046875,-999.0,776.2180786132812,55.12206111247645,52.39002211845663,-375.5329284667969,630.8638916015625,52.90509543704432,58.9200868354223,13708704.4023495,2026-02-15T03:34:03.947680
3RIMG_23JAN2026_1645_L2B_CTP_V01R00.h5,313,312,-209.8470916748047,794.7942504882812,-999.0,776.3470458984375,54.37351519619891,51.61894814450725,-365.5561218261719,630.831298828125,52.259973785532885,58.367125419841074,13708734.8351964,2026-02-15T03:34:03.967125
3RIMG_23JAN2026_1715_L2B_CTP_V01R00.h5,313,312,-211.12550354003906,794.9371337890625,-999.0,777.3327026367188,54.45953141640043,51.70598836733022,-366.71160888671875,630.8428344726562,52.37568608175637,58.39886950110592,13708764.951753817,2026-02-15T03:34:03.985649
3RIMG_23JAN2026_1745_L2B_CTP_V01R00.h5,313,312,-206.848388671875,796.5057983398438,-999.0,776.4579467773438,54.1410666011305,51.501187843040874,-364.38555908203125,631.0267944335938,52.158597526009665,58.131604816908336,13708794.781309066,2026-02-15T03:34:04.004691
3RIMG_23JAN2026_1815_L2B_CTP_V01R00.h5,313,312,-203.29782104492188,796.7473754882812,-999.0,776.1337890625,53.88404194314737,51.28819529777996,-361.7295837402344,631.037841796875,51.9466289833702,57.81621200950274,13708824.795005033,2026-02-15T03:34:04.024806
3RIMG_23JAN2026_1845_L2B_CTP_V01R00.h5,313,312,-203.30638122558594,797.85888671875,-999.0,776.3292236328125,53.81952977799623,51.26157122962235,-362.5806579589844,631.1989135742188,51.86266076841157,57.80904399115262,13708855.0670416,2026-02-15T03:34:04.043325
3RIMG_23JAN2026_1915_L2B_CTP_V01R00.h5,313,312,-207.833251953125,797.1869506835938,-999.0,776.262451171875,54.01511427869256,51.49401982469075,-365.79119873046875,631.196533203125,52.03981322192185,58.00462849184894,13708885.4757743,2026-02-15T03:34:04.946557
3RIMG_23JAN2026_1945_L2B_CTP_V01R00.h5,313,312,-203.27987670898438,797.4695434570312,-999.0,780.9879760742188,53.69869746866552,51.11718685999836,-362.4401550292969,631.1797485351562,51.780740558695825,57.7209797657082,13708915.385276116,2026-02-15T03:34:04.964582
3RIMG_23JAN2026_2015_L2B_CTP_V01R00.h5,313,312,-201.32081604003906,797.5518188476562,-999.0,778.0638427734375,53.47648889981158,50.92774637503072,-361.02667236328125,631.2072143554688,51.61075612353567,57.65237159007127,13708945.481177501,2026-02-15T03:34:04.985734
3RIMG_23JAN2026_2045_L2B_CTP_V01R00.h5,313,312,-202.2406463623047,797.8074340820312,-999.0,778.12841796875,53.51642500204801,50.979970508724506,-361.9427490234375,631.2684936523438,51.62714016547882,57.63701155074957,13708974.982303817,2026-02-15T03:34:05.005590
3RIMG_23JAN2026_2115_L2B_CTP_V01R00.h5,313,312,-203.60337829589844,797.5341796875,-999.0,779.9395141601562,53.5799131645777,51.04448267387565,-362.8763732910156,631.2467651367188,51.66707626771525,57.74965183910871,13709005.280448318,2026-02-15T03:34:05.023722
3RIMG_23JAN2026_2145_L2B_CTP_V01R00.h5,313,312,-205.20730590820312,797.552978515625,-999.0,778.0548095703125,53.64954534283608,51.087490783976406,-364.2105712890625,631.251708984375,51.77766855083149,57.84898009338904,13709034.9644463,2026-02-15T03:34:05.041243
3RIMG_23JAN2026_2215_L2B_CTP_V01R00.h5,313,312,-200.95578002929688,797.6680297851562,-999.0,777.8698120117188,53.38228065863848,50.82534611288605,-360.8736267089844,631.2526245117188,51.5257639059556,57.62267551404931,13709065.2574786,2026-02-15T03:34:05.059577
3RIMG_23JAN2026_2245_L2B_CTP_V01R00.h5,313,312,-207.8834686279297,797.8103637695312,-999.0,778.0479125976562,53.82464979110346,51.23801916932907,-366.51019287109375,631.337646484375,51.837060702875405,58.02408454165643,13709094.301654033,2026-02-15T03:34:05.078576
3RIMG_23JAN2026_2315_L2B_CTP_V01R00.h5,313,312,-208.3254852294922,797.6527099609375,-999.0,777.9205932617188,53.77549766527402,51.18272302777095,-366.8209228515625,631.2982788085938,51.84320471860408,58.09883673302204,13709125.3284911,2026-02-15T03:34:05.096576
3RIMG_23JAN2026_2345_L2B_CTP_V01R00.h5,313,312,-206.4991455078125,798.4019775390625,-999.0,780.1021118164062,53.59527320389941,51.06496272630457,-365.90899658203125,631.4056396484375,51.696772343737194,57.85000409601049,13709154.715372149,2026-02-15T03:34:05.117014
3RIMG_24JAN2026_0014_L2B_CTP_V01R00.h5,313,312,-208.46240234375,799.47021484375,-999.0,780.868408203125,53.71405750798722,51.23597116408618,-368.2953186035156,631.4771118164062,51.82477267141804,57.97800442369132,13709203.539797217,2026-02-15T03:34:05.135025
3RIMG_24JAN2026_0015_L2B_CTP_V01R00.h5,313,312,-209.0496368408203,799.37158203125,-999.0,780.981689453125,53.72839354468747,51.27078725321537,-368.71392822265625,631.4590454101562,51.87597280249038,58.00258048660605,13709184.682781218,2026-02-15T03:34:05.150544
3RIMG_24JAN2026_0044_L2B_CTP_V01R00.h5,313,312,-208.61239624023438,800.21630859375,-999.0,780.7626953125,53.70688948963709,51.23597116408618,-368.9454345703125,631.5629272460938,51.859588760547226,57.970836405341196,13709234.196397234,2026-02-15T03:34:05.170933
3RIMG_24JAN2026_0045_L2B_CTP_V01R00.h5,313,312,-209.228759765625,800.208984375,-999.0,780.7626953125,53.768329646923895,51.28819529777996,-369.43365478515625,631.5521240234375,51.90259687064799,58.032276562628006,13709214.986976633,2026-02-15T03:34:05.189252
3RIMG_24JAN2026_0114_L2B_CTP_V01R00.h5,313,312,-212.76783752441406,800.8618774414062,-999.0,781.04833984375,53.940362087326946,51.53600393217007,-372.7721862792969,631.6070556640625,52.120709429016145,58.09269271729336,13709268.249739368,2026-02-15T03:34:05.210624
3RIMG_24JAN2026_0115_L2B_CTP_V01R00.h5,313,312,-211.88800048828125,801.0015869140625,-999.0,781.04833984375,53.89530597198329,51.489923814204964,-372.1593322753906,631.6299438476562,52.08282133202261,58.05787662816417,13709245.364559101,2026-02-15T03:34:05.225626
3RIMG_24JAN2026_0144_L2B_CTP_V01R00.h5,313,312,-214.08216857910156,801.2453002929688,-999.0,781.2355346679688,53.96493815024166,51.665028262472354,-374.1203918457031,631.6542358398438,52.20877365446056,58.08654870156468,13709297.68118065,2026-02-15T03:34:05.244803
3RIMG_24JAN2026_0145_L2B_CTP_V01R00.h5,313,312,-214.00387573242188,801.2970581054688,-999.0,780.5149536132812,53.98029818956337,51.64250020480053,-374.09600830078125,631.6656494140625,52.18522159416729,58.04866060457115,13709275.3373188,2026-02-15T03:34:05.262963
3RIMG_24JAN2026_0214_L2B_CTP_V01R00.h5,313,312,-218.10867309570312,801.77001953125,-999.0,781.8032836914062,54.21479478987467,51.95072499385598,-377.77386474609375,631.6495361328125,52.440198246907514,58.11931678545097,13709329.654226383,2026-02-15T03:34:05.281617
3RIMG_24JAN2026_0215_L2B_CTP_V01R00.h5,313,312,-218.4033966064453,801.788330078125,-999.0,781.8032836914062,54.217866797739,51.95686900958466,-378.0306396484375,631.6470947265625,52.46477430982224,58.13570082739412,13709307.61697695,2026-02-15T03:34:05.300820
3RIMG_24JAN2026_0244_L2B_CTP_V01R00.h5,313,312,-219.262451171875,802.1520385742188,-999.0,778.2662353515625,54.2967149995904,52.08896534775129,-378.9998779296875,631.6683349609375,52.55283853526665,58.11624477758664,13709364.65695775,2026-02-15T03:34:05.318821
3RIMG_24JAN2026_0245_L2B_CTP_V01R00.h5,313,312,-219.20126342773438,802.1898803710938,-999.0,778.2662353515625,54.29466699434751,52.09306135823708,-378.981201171875,631.6743774414062,52.55795854837388,58.10190874088638,13709394.217382668,2026-02-15T03:34:05.336829
3RIMG_24JAN2026_0315_L2B_CTP_V01R00.h5,313,312,-222.33570861816406,802.9920043945312,-999.0,778.2125244140625,54.52199557630868,52.28352584582616,-382.1382751464844,631.6578979492188,52.739207012369945,58.13365282215123,13709394.19016515,2026-02-15T03:34:05.354573
3RIMG_24JAN2026_0345_L2B_CTP_V01R00.h5,313,312,-222.7723388671875,803.9523315429688,-999.0,778.185546875,54.608011796510205,52.417670189235686,-383.1578674316406,631.69921875,52.87539936102237,58.21352502662407,13709406.685919316,2026-02-15T03:34:05.372574
3RIMG_24JAN2026_0415_L2B_CTP_V01R00.h5,313,312,-229.26698303222656,804.8736572265625,-999.0,777.997314453125,55.008396821495865,52.86925534529369,-389.172119140625,631.5955200195312,53.26964037027935,58.50741377897928,13709455.075732134,2026-02-15T03:34:05.392058
3RIMG_24JAN2026_0445_L2B_CTP_V01R00.h5,313,312,-231.90782165527344,805.2285766601562,-999.0,778.4803466796875,55.188621282870486,53.078151880068816,-391.5649108886719,631.5850830078125,53.43860080281806,58.58523797820923,13709472.34997005,2026-02-15T03:34:05.409066
