Magnitude,Latitude,Longitude,Depth,Hazard_Level
5.8,43.004,145.638,42.0,0
6.0,7.248,141.605,10.0,1
5.8,10.946,123.938,11.0,0
7.7,-60.174,-61.967,15.0,2
6.9,7.172,126.755,48.0,1
7.4,7.265,126.755,62.0,2
6.1,51.626,158.209,45.0,1
5.5,30.911,99.939,7.0,0
6.7,-6.784,146.767,101.0,1
6.0,37.387,141.653,38.0,1
5.6,51.578,159.715,18.0,0
6.2,51.654,159.875,16.0,1
5.4,52.012,160.199,18.0,0
5.6,-7.349,128.347,150.0,0
7.1,11.151,124.138,6.0,2
5.6,52.986,159.663,52.0,0
6.0,43.478,-127.218,12.0,1
6.3,9.927,-70.692,15.0,1
6.3,9.922,-70.717,10.0,1
5.6,-15.745,-75.29,14.0,0
5.7,51.551,159.491,20.0,0
5.5,51.426,159.539,16.0,0
5.4,51.215,-178.098,35.0,0
5.8,52.795,161.139,14.0,0
6.1,52.936,161.281,16.0,1
6.0,51.422,157.794,51.0,1
5.7,52.24,160.645,16.0,0
7.8,53.168,160.532,32.0,2
6.1,-3.615,135.526,37.0,1
5.5,52.65,159.208,45.0,0
6.0,-5.469,153.752,38.0,1
5.9,52.692,160.703,16.0,0
7.4,53.104,160.294,34.0,2
6.5,-20.981,173.758,4.0,1
5.5,-1.883,-81.048,10.0,0
5.5,34.422,70.615,6.0,0
5.8,-24.383,-67.201,187.0,0
6.0,52.334,-169.677,17.0,1
5.5,51.427,159.385,16.0,0
6.0,34.519,70.734,8.0,1
5.7,-58.493,-25.568,40.0,0
5.6,38.369,142.163,39.0,0
5.9,52.0,179.861,127.0,0
6.0,50.824,157.497,46.0,1
5.7,49.153,156.034,26.0,0
6.3,49.392,160.036,6.0,1
5.5,52.119,160.532,23.0,0
5.5,52.19,160.397,24.0,0
6.1,2.105,96.691,6.0,1
5.9,13.075,-90.36,32.0,0
5.5,50.869,157.241,52.0,0
5.6,-24.664,-175.899,16.0,0
7.5,-60.186,-61.821,12.0,2
5.7,38.709,142.088,41.0,0
6.0,51.905,160.045,17.0,1
5.6,-24.564,-176.025,21.0,0
5.4,13.217,-91.075,13.0,0
6.0,-1.257,120.741,7.0,1
5.6,32.02,131.775,31.0,0
5.8,52.923,159.608,50.0,0
6.3,-11.674,166.14,41.0,1
5.5,-18.372,-172.528,34.0,0
6.4,-2.057,138.973,15.0,1
5.9,14.876,-94.387,9.0,0
6.2,39.303,28.065,11.0,1
6.0,12.997,145.633,16.0,1
6.1,13.514,-92.404,10.0,1
6.1,50.06,159.768,8.0,1
5.9,-4.262,152.955,18.0,0
5.5,24.634,122.997,108.0,0
5.8,51.597,159.499,16.0,0
5.4,51.616,159.85,17.0,0
5.6,28.028,59.084,91.0,0
6.3,48.865,156.978,16.0,1
5.7,52.561,160.698,18.0,0
6.8,50.58,157.799,31.0,1
6.5,-55.248,-128.574,7.0,1
5.6,17.343,-96.136,70.0,0
6.0,51.608,159.547,18.0,1
5.5,51.64,159.556,26.0,0
